Date,Forecast,Lower_Bound,Upper_Bound
2011-12-18,345.5116245009346,287.3422313863058,398.3412921349495
2011-12-25,167.6098417705646,108.87849186929549,225.85122550297328
2012-01-01,62.69624380328332,9.564463309016693,120.5008811563718
2012-01-08,76.70078915593598,19.648992333549177,133.03794972311334
2012-01-15,170.58688196111723,115.42393809283871,228.844587879301
2012-01-22,255.21735098520486,194.70182361462338,308.5089426151876
2012-01-29,272.6192995445334,221.1705672095194,330.599675180232
2012-02-05,240.135718769014,185.12613319988313,298.3706205890285
2012-02-12,215.9884307016692,158.45705915201648,270.64157653576746
2012-02-19,231.44412841398236,177.24141217624432,291.8562017188561
2012-02-26,265.7208923332958,208.21468393233508,320.0908444891891
2012-03-04,282.9102377377306,230.31287976071866,336.5087226460683
