Date,Forecast,Lower_Bound,Upper_Bound
2011-12-18,217841.19162855,174277.93682790888,261576.12723729512
2011-12-25,102707.39670144329,58528.0497910787,147422.04900390445
2012-01-01,42457.35281771426,0.0,83180.16372252241
2012-01-08,70531.47749709613,24363.689637410418,113526.71485036421
2012-01-15,140660.607827779,97407.84221757813,185221.29983595482
2012-01-22,177259.50988337645,135631.594292906,221813.58894563743
2012-01-29,152866.35271175546,106989.04711219722,197242.23191892056
2012-02-05,107807.82975250823,65028.06896845504,151553.6499895721
2012-02-12,96128.33206243595,52325.79796926127,137584.92862054243
2012-02-19,125053.61271293086,79408.97507546438,169820.11998422717
2012-02-26,155803.18315009595,110031.68644305994,202932.65887976234
2012-03-04,156263.86742080495,112239.72973095122,198418.96072748036
